"/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"---","sUseMoveObjectID1","sUseMoveObjectID2","sUseMoveObjectID3","sUseMoveObjectID4","sUseMoveObjectID5","sUseMoveObjectID6","sUseMoveObjectID7","sUseMoveObjectID8","sUseMoveObjectID9","sUseMoveObjectID10","sA1","sA2","sA3","sA4","sA5","sA6","sA7","sB1","sB2","sB3","sB4","sB5","sB6","sB7","sC1","sC2","sC3","sC4","sC5","sC6","sC7","sD1","sD2","sD3","sD4","sD5","sD6","sD7","sE1","sE2","sE3","sE4","sE5","sE6","sE7","sF1","sF2","sF3","sF4","sF5","sF6","sF7","sG1","sG2","sG3","sG4","sG5","sG6","sG7"
"인덱스","크리스탈 1","크리스탈 2","크리스탈 3","크리스탈 4","크리스탈 5","크리스탈 6","크리스탈 7","크리스탈 8","크리스탈 9","크리스탈 10","A1 좌표","A2 좌표","A3 좌표","A4 좌표","A5 좌표","A6 좌표","A7 좌표","B1 좌표","B2 좌표","B3 좌표","B4  좌표","B5  좌표","B6 좌표","B7 좌표","C1 좌표","C2 좌표","C3 좌표","C4 좌표","C5 좌표","C6 좌표","C7 좌표","D1 좌표","D2 좌표","D3 좌표","D4 좌표","D5 좌표","D6 좌표","D7 좌표","E1 좌표","E2 좌표","E3 좌표","E4 좌표","E5 좌표","E6 좌표","E7 좌표","F1 좌표","F2 좌표","F3 좌표","F4 좌표","F5 좌표","F6 좌표","F7 좌표","G1 좌표","G2 좌표","G3 좌표","G4 좌표","G5 좌표","G6 좌표","G7 좌표"
"8000101001","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000101002","4020500036","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000101003","4020500036","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203015","FREE","FREE"
"8000102001","4020500037","4020500037","4020500036","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","4010101004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE"
"8000102002","4020500035","4020500037","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000102003","4020500035","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202020","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000102004","4020500035","4020600039","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000102005","4020500036","4020500035","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203024","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203015","FREE","4010203015","FREE","FREE","FREE"
"8000102006","4020600039","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010202017","FREE","4010202017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000102007","4020600039","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","4010102005","FREE","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203015","FREE","4010202014","FREE","4010201013","FREE"
"8000102008","4020600039","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","FREE","FREE","4010103006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203015","FREE","FREE","FREE","4010201013","FREE"
"8000102009","4020500036","4020600039","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101010","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201022","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000102010","4020500037","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101004","FREE","4010201016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201019","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","FREE","FREE","FREE"
"8000102011","4020500036","4020600039","4020500038","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010102011","FREE","FREE","FREE","FREE","FREE","FREE","4010202023","FREE","FREE","FREE","FREE","FREE","4010202020","4010202023","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000102012","4020500036","4020500035","4020600039","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203018","FREE","FREE","4010103012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010203021","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010103003","4010203015","4010203015","FREE"
"8000102013","4020500037","4020600039","4020500035","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201016","4010201016","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010101007","FREE","FREE","FREE","FREE","FREE","FREE","4010101007","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4010201013","4010201013","FREE","FREE","FREE","FREE"
