"csv 출력 버튼","","","","","","",""
"---","#PUZObject","#X","#PUZObjectCategory","#PUZObjectColor","#Order","sStaticMeshPath","#Description"
"인덱스","퍼즐 오브젝트","X_사용하지 않는 값","오브젝트 유형","오브젝트 색상","순서","스태틱 메쉬 경로","설명_시스템 상 무시"
"4200101001","42","0","01","01","001","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Black.SM_NPUZ_03_Battery_Black'","건전지_R"
"4200102002","42","0","01","02","002","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Orange.SM_NPUZ_03_Battery_Orange'","건전지_O"
"4200103003","42","0","01","03","003","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Yellow.SM_NPUZ_03_Battery_Yellow'","건전지_Y"
"4200104004","42","0","01","04","004","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Green.SM_NPUZ_03_Battery_Green'","건전지_G"
"4200105005","42","0","01","05","005","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Blue.SM_NPUZ_03_Battery_Blue'","건전지_B"
"4200106006","42","0","01","06","006","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Indigo.SM_NPUZ_03_Battery_Indigo'","건전지_I"
"4200107007","42","0","01","07","007","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Violet.SM_NPUZ_03_Battery_Violet'","건전지_V"
"4200108008","42","0","01","08","008","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Pink.SM_NPUZ_03_Battery_Pink'","건전지_P"
"4200201009","42","0","02","01","009","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Black.SM_NPUZ_03_Battery_Black'","블랙건전지_(R)"
"4200202010","42","0","02","02","010","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Orange.SM_NPUZ_03_Battery_Orange'","블랙건전지_(O)"
"4200203011","42","0","02","03","011","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Yellow.SM_NPUZ_03_Battery_Yellow'","블랙건전지_(Y)"
"4200204012","42","0","02","04","012","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Green.SM_NPUZ_03_Battery_Green'","블랙건전지_(G)"
"4200205013","42","0","02","05","013","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Blue.SM_NPUZ_03_Battery_Blue'","블랙건전지_(B)"
"4200206014","42","0","02","06","014","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Indigo.SM_NPUZ_03_Battery_Indigo'","블랙건전지_(I)"
"4200207015","42","0","02","07","015","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Violet.SM_NPUZ_03_Battery_Violet'","블랙건전지_(V)"
"4200208016","42","0","02","08","016","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_03/Meshs/SM_NPUZ_03_Battery_Pink.SM_NPUZ_03_Battery_Pink'","블랙건전지_(P)"
"4200000017","42","0","00","00","017","FREE","케이스"
"4200000018","42","0","00","00","018","FREE","케이스 덮개(활성화)"
