"csv 출력 버튼","","","","","","","",""
"---","#PUZObject","#X","#PUZObjectCategory","#PUZObjectColor","#Order","sStaticMeshPath","#PUZObject","#Description"
"인덱스","퍼즐 오브젝트","X","퍼즐 오브젝트 유형","오브젝트 색상","순서","스태틱 메쉬 경로","오브젝트","설명_시스템 상 무시"
"4400101001","44","0","01","01","001","FREE","메인 전구 R(S)",""
"4400102002","44","0","01","02","002","FREE","메인 전구 O(S)",""
"4400103003","44","0","01","03","003","FREE","메인 전구 Y(S)",""
"4400104004","44","0","01","04","004","FREE","메인 전구 G(S)",""
"4400105005","44","0","01","05","005","FREE","메인 전구 B(S)",""
"4400106006","44","0","01","06","006","FREE","메인 전구 I(S)",""
"4400107007","44","0","01","07","007","FREE","메인 전구 V(S)",""
"4400108008","44","0","01","08","008","FREE","메인 전구 P(S)",""
"4400201009","44","0","02","01","009","FREE","메인 전구 R[E]",""
"4400202010","44","0","02","02","010","FREE","메인 전구 O[E]",""
"4400203011","44","0","02","03","011","FREE","메인 전구 Y[E]",""
"4400204012","44","0","02","04","012","FREE","메인 전구 G[E]",""
"4400205013","44","0","02","05","013","FREE","메인 전구 B[E]",""
"4400206014","44","0","02","06","014","FREE","메인 전구 I[E]",""
"4400207015","44","0","02","07","015","FREE","메인 전구 V[E]",""
"4400208016","44","0","02","08","016","FREE","메인 전구 P[E]",""
"4400300017","44","0","03","00","017","FREE","서브 전구",""
