"!!!","","",""
"---","sPUZObjectID","iDivideNum","iShuffleNum"
"인덱스","퍼즐 오브젝트ID","분할개수","섞는 횟수"
"8000701001","4600000001","3","8"
"8000701002","4600000002","3","8"
"8000701003","4600000003","3","8"
"8000701004","4600000004","3","8"
"8000701005","4600000005","3","8"
"8000701006","4600000006","3","8"
"8000701007","4600000007","3","8"
"8000701008","4600000008","3","8"
"8000701009","4600000009","3","8"
"8000701010","4600000010","3","8"
"8000702001","4600000011","3","13"
"8000702002","4600000012","3","13"
"8000702003","4600000013","3","13"
"8000702004","4600000014","3","13"
"8000702005","4600000015","3","13"
"8000702006","4600000016","3","13"
"8000702007","4600000017","3","13"
"8000702008","4600000018","3","13"
"8000702009","4600000019","3","13"
"8000702010","4600000020","3","13"
"8000703001","4600000001","3","20"
"8000703002","4600000002","3","20"
"8000703003","4600000003","3","20"
"8000703004","4600000004","3","20"
"8000703005","4600000005","3","20"
"8000703006","4600000006","3","20"
"8000703007","4600000007","3","20"
"8000703008","4600000008","3","20"
"8000703009","4600000009","3","20"
"8000703010","4600000010","3","20"
"8000704001","4600000011","4","17"
"8000704002","4600000012","4","17"
"8000704003","4600000013","4","17"
"8000704004","4600000014","4","17"
"8000704005","4600000015","4","17"
"8000704006","4600000016","4","17"
"8000704007","4600000017","4","17"
"8000704008","4600000018","4","17"
"8000704009","4600000019","4","17"
"8000704010","4600000020","4","17"
"8000705001","4600000001","4","35"
"8000705002","4600000002","4","35"
"8000705003","4600000003","4","35"
"8000705004","4600000004","4","35"
"8000705005","4600000005","4","35"
"8000705006","4600000006","4","35"
"8000705007","4600000007","4","35"
"8000705008","4600000008","4","35"
"8000705009","4600000009","4","35"
"8000705010","4600000010","4","35"
"8000706001","4600000011","4","55"
"8000706002","4600000012","4","55"
"8000706003","4600000013","4","55"
"8000706004","4600000014","4","55"
"8000706005","4600000015","4","55"
"8000706006","4600000016","4","55"
"8000706007","4600000017","4","55"
"8000706008","4600000018","4","55"
"8000706009","4600000019","4","55"
"8000706010","4600000020","4","55"
