"csv 출력 버튼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"---","#PUZ","#X","#PUZCategory","#Difficulty","#Order","sA1","sA2","sA3","sA4","sA5","sA6","sA7","sB1","sB2","sB3","sB4","sB5","sB6","sB7","sC1","sC2","sC3","sC4","sC5","sC6","sC7","sD1","sD2","sD3","sD4","sD5","sD6","sD7","sE1","sE2","sE3","sE4","sE5","sE6","sE7","sF1","sF2","sF3","sF4","sF5","sF6","sF7","sG1","sG2","sG3","sG4","sG5","sG6","sG7","#Description"
"인덱스","퍼즐","X_사용하지 않는 값","퍼즐 유형","난이도","순서","A1 좌표","A2 좌표","A3 좌표","A4 좌표","A5 좌표","A6 좌표","A7 좌표","B1 좌표","B2 좌표","B3 좌표","B4  좌표","B5  좌표","B6 좌표","B7 좌표","C1 좌표","C2 좌표","C3 좌표","C4 좌표","C5 좌표","C6 좌표","C7 좌표","D1 좌표","D2 좌표","D3 좌표","D4 좌표","D5 좌표","D6 좌표","D7 좌표","E1 좌표","E2 좌표","E3 좌표","E4 좌표","E5 좌표","E6 좌표","E7 좌표","F1 좌표","F1 좌표","F1 좌표","F1 좌표","F1 좌표","F1 좌표","F1 좌표","G1 좌표","G2 좌표","G3 좌표","G4 좌표","G5 좌표","G6 좌표","G7 좌표","설명_시스템 상 무시"
"8000201001","80","0","02","01","001","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112241004","4123120012","FREE","FREE","4131031018","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE",""
"8000201002","80","0","02","01","002","FREE","FREE","FREE","FREE","FREE","FREE","4124240015","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","FREE","4123120012","4131032022","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE",""
"8000201003","80","0","02","01","003","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112241004","FREE","FREE","FREE","4123120012","4131031018","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE",""
"8000202001","80","0","02","02","001","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","4112241004","FREE","FREE","4131031018","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124240015","FREE","4123120012","FREE",""
"8000202002","80","0","02","02","002","FREE","4112241004","FREE","FREE","FREE","FREE","4131031018","FREE","FREE","FREE","FREE","4122120010","FREE","FREE","FREE","FREE","4123120012","4123120012","FREE","4122240011","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124120014","FREE","4122240011","FREE","FREE","FREE","FREE","FREE",""
"8000202003","80","0","02","02","003","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4124120014","FREE","FREE","FREE","FREE","4123240013","FREE","FREE","4122120010","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","FREE","4122120010","4123120012","4123120012","4131032022",""
"8000202004","80","0","02","02","004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","4112241004","FREE","FREE","FREE","FREE","4131031018","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4123120012","4124120014","4123120012","4124120014","FREE",""
"8000202005","80","0","02","02","005","FREE","FREE","FREE","FREE","4122240011","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4122240011","FREE","4123120012","FREE","FREE","4123120012","FREE","FREE","FREE","FREE","FREE","FREE","4112242008","FREE","FREE","FREE","FREE","4131032022","FREE","FREE","4123120012","4123120012","FREE","FREE","FREE",""
