"csv 출력 버튼","","","","","","","","",""
"---","#PUZObject","#PUZObjectCategory","#PUZObjectLength","#PUZObjectLength","#ObjectHead","#PUZObjectColor","#Order","sStaticMeshPath","#Description"
"인덱스","퍼즐 오브젝트","퍼즐 오브젝트 유형","퍼즐 오브젝트 길이","오브젝트 이동 방향","머리방향","오브젝트 색상","순서","스태틱 메쉬 경로","설명_시스템 상 무시"
"4112111001","41","1","2","1","1","1","001","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_USB_U.SM_NPUZ_02_USB_U'",""
"4112121002","41","1","2","1","2","1","002","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_USB_D.SM_NPUZ_02_USB_D'",""
"4112231003","41","1","2","2","3","1","003","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_USB_L.SM_NPUZ_02_USB_L'",""
"4112241004","41","1","2","2","4","1","004","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_USB_R.SM_NPUZ_02_USB_R'",""
"4112112005","41","1","2","1","1","2","005","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_USB_U.SM_NPUZ_02_USB_U'",""
"4112122006","41","1","2","1","2","2","006","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_USB_D.SM_NPUZ_02_USB_D'",""
"4112232007","41","1","2","2","3","2","007","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_USB_L.SM_NPUZ_02_USB_L'",""
"4112242008","41","1","2","2","4","2","008","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_USB_R.SM_NPUZ_02_USB_R'",""
"4121300009","41","2","1","3","0","0","009","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_Block_1.SM_NPUZ_02_Block_1'",""
"4122120010","41","2","2","1","2","0","010","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_Block_2_V.SM_NPUZ_02_Block_2_V'",""
"4122240011","41","2","2","2","4","0","011","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_Block_2_H.SM_NPUZ_02_Block_2_H'",""
"4123120012","41","2","3","1","2","0","012","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_Block_3_V.SM_NPUZ_02_Block_3_V'",""
"4123240013","41","2","3","2","4","0","013","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_Block_3_H.SM_NPUZ_02_Block_3_H'",""
"4124120014","41","2","4","1","2","0","014","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_Block_4_V.SM_NPUZ_02_Block_4_V'",""
"4124240015","41","2","4","2","4","0","015","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_Block_4_H.SM_NPUZ_02_Block_4_H'",""
"4131011016","41","3","1","0","1","1","016","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_End_U.SM_NPUZ_02_End_U'",""
"4131021017","41","3","1","0","2","1","017","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_End_D.SM_NPUZ_02_End_D'",""
"4131031018","41","3","1","0","3","1","018","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_End_L.SM_NPUZ_02_End_L'",""
"4131041019","41","3","1","0","4","1","019","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_End_R.SM_NPUZ_02_End_R'",""
"4131012020","41","3","1","0","1","2","020","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_End_U.SM_NPUZ_02_End_U'",""
"4131022021","41","3","1","0","2","2","021","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_End_D.SM_NPUZ_02_End_D'",""
"4131032022","41","3","1","0","3","2","022","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_End_L.SM_NPUZ_02_End_L'",""
"4131042023","41","3","1","0","4","2","023","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_02/Meshs/SM_NPUZ_02_End_R.SM_NPUZ_02_End_R'",""
