"csv 출력 버튼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"---","#PUZ","#X","#PUZCategory","#Difficulty","#Order","bCase1","bCase2","bCase3","bCase4","bCase5","bCase6","bCase7","bCase8","sA1","sA2","sA3","sA4","sA5","sA6","sA7","sA8","sB1","sB2","sB3","sB4","sB5","sB6","sB7","sB8","sC1","sC2","sC3","sC4","sC5","sC6","sC7","sC8","sD1","sD2","sD3","sD4","sD5","sD6","sD7","sD8","#Description"
"인덱스","퍼즐","X_사용하지 않는 값","퍼즐 유형","난이도","순서","케이스1","케이스2","케이스3","케이스4","케이스5","케이스6","케이스7","케이스8","A1 좌표","A2 좌표","A3 좌표","A4 좌표","A5 좌표","A6 좌표","A7 좌표","A7 좌표","B2 좌표","B2 좌표","B3 좌표","B4  좌표","B5  좌표","B6 좌표","B7 좌표","B7 좌표","C1 좌표","C2 좌표","C3 좌표","C4 좌표","C5 좌표","C6 좌표","C7 좌표","C7 좌표","D1 좌표","D2 좌표","D3 좌표","D4 좌표","D5 좌표","D6 좌표","D7 좌표","D7 좌표","설명_시스템 상 무시"
"8000301001","80","0","03","01","001","1","1","1","1","0","0","0","0","4200105005","4200102002","FREE","FREE","FREE","FREE","FREE","FREE","4200105005","4200102002","FREE","FREE","FREE","FREE","FREE","FREE","4200102002","4200105005","FREE","FREE","FREE","FREE","FREE","FREE","4200102002","4200105005","FREE","FREE","FREE","FREE","FREE","FREE",""
"8000301002","80","0","03","01","002","1","1","1","1","0","0","0","0","4200103003","4200104004","FREE","FREE","FREE","FREE","FREE","FREE","4200103003","4200104004","FREE","FREE","FREE","FREE","FREE","FREE","4200104004","4200103003","FREE","FREE","FREE","FREE","FREE","FREE","4200104004","4200103003","FREE","FREE","FREE","FREE","FREE","FREE",""
"8000301003","80","0","03","01","003","1","1","1","1","0","0","0","0","4200105005","4200106006","FREE","FREE","FREE","FREE","FREE","FREE","4200105005","4200106006","FREE","FREE","FREE","FREE","FREE","FREE","4200106006","4200105005","FREE","FREE","FREE","FREE","FREE","FREE","4200106006","4200105005","FREE","FREE","FREE","FREE","FREE","FREE",""
"8000301004","80","0","03","01","004","1","1","1","1","0","0","0","0","4200104004","4200108008","FREE","FREE","FREE","FREE","FREE","FREE","4200104004","4200108008","FREE","FREE","FREE","FREE","FREE","FREE","4200108008","4200104004","FREE","FREE","FREE","FREE","FREE","FREE","4200108008","4200104004","FREE","FREE","FREE","FREE","FREE","FREE",""
"8000301005","80","0","03","01","005","1","0","1","0","0","1","0","1","4200101001","FREE","FREE","FREE","FREE","4200102002","FREE","FREE","4200102002","FREE","FREE","FREE","FREE","4200101001","FREE","FREE","4200101001","FREE","FREE","FREE","FREE","4200102002","FREE","FREE","4200102002","FREE","FREE","FREE","FREE","4200101001","FREE","FREE",""
"8000301006","80","0","03","01","006","1","0","1","0","0","1","0","1","4200103003","FREE","FREE","FREE","FREE","4200104004","FREE","FREE","4200104004","FREE","FREE","FREE","FREE","4200103003","FREE","FREE","4200103003","FREE","FREE","FREE","FREE","4200104004","FREE","FREE","4200104004","FREE","FREE","FREE","FREE","4200103003","FREE","FREE",""
"8000301007","80","0","03","01","007","0","1","0","1","1","0","1","0","FREE","4200105005","FREE","FREE","4200106006","FREE","FREE","FREE","FREE","4200106006","FREE","FREE","4200105005","FREE","FREE","FREE","FREE","4200105005","FREE","FREE","4200106006","FREE","FREE","FREE","FREE","4200106006","FREE","FREE","4200105005","FREE","FREE","FREE",""
"8000301008","80","0","03","01","008","0","1","0","1","1","0","1","0","FREE","4200107007","FREE","FREE","4200103003","FREE","FREE","FREE","FREE","4200103003","FREE","FREE","4200107007","FREE","FREE","FREE","FREE","4200107007","FREE","FREE","4200103003","FREE","FREE","FREE","FREE","4200103003","FREE","FREE","4200107007","FREE","FREE","FREE",""
