"/","","",""
"---","sObjectDivideID","iCount","iRotateSpeed"
"인덱스","분할 영역","횟수","초당 회전 각도"
"8000401001","6/6","3","180"
"8000401002","6/7","3","180"
"8000401003","6/8","3","180"
"8000401004","6/9","3","180"
"8000401005","6/10","3","180"
"8000401006","7/6","3","180"
"8000401007","7/7","3","180"
"8000401008","7/8","3","180"
"8000401009","7/9","3","180"
"8000401010","7/10","3","180"
"8000401011","8/6","3","180"
"8000401012","8/7","3","180"
"8000401013","8/8","3","180"
"8000402001","4/4/4","3","270"
"8000402002","4/4/5","3","270"
"8000402003","4/4/6","3","270"
"8000402004","4/5/4","3","270"
"8000402005","4/5/5","3","270"
"8000402006","4/5/6","3","270"
"8000402007","4/6/4","3","270"
"8000402008","4/6/5","3","270"
"8000402010","5/4/4","3","270"
"8000402011","5/4/5","3","270"
"8000402012","5/4/6","3","270"
"8000402013","5/5/4","3","270"
"8000402014","5/5/5","3","270"
"8000402016","5/6/4","3","270"
"8000402017","5/6/5","3","270"
"8000402018","5/6/6","3","270"
"8000402020","6/4/5","3","270"
"8000402022","6/5/4","3","270"
"8000402023","6/5/5","3","270"
"8000403001","3/3/3","3","360"
"8000403002","3/3/4","3","360"
"8000403003","3/3/5","3","360"
"8000403004","3/4/3","3","360"
"8000403005","3/4/4","3","360"
"8000403006","3/4/5","3","360"
"8000403007","3/5/3","3","360"
"8000403008","3/5/4","3","360"
"8000403009","3/5/5","3","360"
"8000403010","4/3/3","3","360"
"8000403011","4/3/4","3","360"
"8000403012","4/3/5","3","360"
"8000403013","4/4/3","3","360"
"8000403014","4/4/4","3","360"
"8000403015","4/4/5","3","360"
"8000403016","4/5/3","3","360"
"8000403017","4/5/4","3","360"
"8000403018","4/5/5","3","360"
"8000403019","5/3/3","3","360"
"8000403020","5/3/4","3","360"
"8000403021","5/3/5","3","360"
"8000403022","5/4/3","3","360"
"8000403023","5/4/4","3","360"
"8000403024","5/4/5","3","360"
"8000403025","5/5/3","3","360"
"8000403026","5/5/4","3","360"
"8000403027","5/5/5","3","360"
"8000404001","3/3/3/3","3","450"
"8000404002","3/3/3/4","3","450"
"8000404003","3/3/4/3","3","450"
"8000404004","3/3/4/4","3","450"
"8000404005","3/4/3/3","3","450"
"8000404006","3/4/3/4","3","450"
"8000404007","3/4/4/3","3","450"
"8000404009","4/3/3/3","3","450"
"8000404010","4/3/3/4","3","450"
"8000404011","4/3/4/3","3","450"
"8000404012","4/3/4/4","3","450"
"8000404013","4/4/3/3","3","450"
"8000404014","4/4/3/4","3","450"
"8000405001","2/2/2/2/2","3","540"
"8000405002","2/2/2/2/3","3","540"
"8000405003","2/2/2/3/2","3","540"
"8000405004","2/2/2/3/3","3","540"
"8000405005","2/2/3/2/2","3","540"
"8000405006","2/2/3/2/3","3","540"
"8000405007","2/2/3/3/2","3","540"
"8000405008","2/2/3/3/3","3","540"
"8000405009","2/3/2/2/2","3","540"
"8000405010","2/3/2/2/3","3","540"
"8000405011","2/3/2/3/2","3","540"
"8000405012","2/3/2/3/3","3","540"
"8000405013","2/3/3/2/2","3","540"
"8000405014","2/3/3/2/3","3","540"
"8000405015","2/3/3/3/2","3","540"
"8000405016","3/2/2/2/2","3","540"
"8000405017","3/2/2/2/3","3","540"
"8000405018","3/2/2/3/2","3","540"
"8000405019","3/2/2/3/3","3","540"
"8000405020","3/2/3/2/2","3","540"
"8000405021","3/2/3/2/3","3","540"
"8000405022","3/2/3/3/2","3","540"
"8000405023","3/2/3/3/3","3","540"
"8000405024","3/3/2/2/2","3","540"
"8000405025","3/3/2/2/3","3","540"
"8000405026","3/3/2/3/2","3","540"
"8000405027","3/3/2/3/3","3","540"
"8000405028","3/3/3/2/2","3","540"
"8000406001","1/1/1/1/1/1","3","720"
