"/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"---","sA1","sA2","sA3","sA4","sA5","sA6","sA7","sB1","sB2","sB3","sB4","sB5","sB6","sB7","sC1","sC2","sC3","sC4","sC5","sC6","sC7","sD1","sD2","sD3","sD4","sD5","sD6","sD7","sE1","sE2","sE3","sE4","sE5","sE6","sE7","sF1","sF2","sF3","sF4","sF5","sF6","sF7","sG1","sG2","sG3","sG4","sG5","sG6","sG7"
"인덱스","A1 좌표","A2 좌표","A3 좌표","A4 좌표","A5 좌표","A6 좌표","A7 좌표","B1 좌표","B2 좌표","B3 좌표","B4  좌표","B5  좌표","B6 좌표","B7 좌표","C1 좌표","C2 좌표","C3 좌표","C4 좌표","C5 좌표","C6 좌표","C7 좌표","D1 좌표","D2 좌표","D3 좌표","D4 좌표","D5 좌표","D6 좌표","D7 좌표","E1 좌표","E2 좌표","E3 좌표","E4 좌표","E5 좌표","E6 좌표","E7 좌표","F1 좌표","F1 좌표","F1 좌표","F1 좌표","F1 좌표","F1 좌표","F1 좌표","G1 좌표","G2 좌표","G3 좌표","G4 좌표","G5 좌표","G6 좌표","G7 좌표"
"8000501001","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400101001","4400103003","FREE","4400203011","4400201009","FREE","FREE","4400300017","4400300017","FREE","4400300017","4400300017","FREE","FREE","4400300017","4400300017","FREE","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501002","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400105005","4400107007","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400207015","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400205013","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501003","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400101001","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400202010","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400104004","4400300017","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","4400204012","4400102002","4400201009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501004","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400101001","4400300017","4400300017","4400300017","4400201009","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400202010","4400300017","4400300017","4400300017","4400102002","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400104004","4400300017","4400300017","4400300017","4400204012","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501005","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400205013","FREE","4400108008","FREE","4400203011","FREE","FREE","4400300017","FREE","4400300017","FREE","4400300017","FREE","FREE","4400300017","FREE","4400300017","FREE","4400300017","FREE","FREE","4400300017","FREE","4400300017","FREE","4400300017","FREE","FREE","4400105005","FREE","4400208016","FREE","4400103003","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501006","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE","4400201009","4400300017","4400300017","4400300017","4400300017","FREE","FREE","4400104004","4400300017","4400300017","4400103003","4400300017","FREE","FREE","4400300017","4400300017","FREE","FREE","4400300017","FREE","FREE","4400300017","4400203011","FREE","FREE","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400204012","4400101001","FREE","FREE","FREE","FREE","FREE","FREE","FREE","FREE"
"8000501007","4400105005","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","FREE","4400107007","4400300017","4400300017","4400300017","FREE","4400300017","FREE","FREE","FREE","FREE","4400300017","FREE","4400300017","FREE","4400108008","FREE","FREE","4400300017","FREE","4400300017","FREE","4400300017","4400208016","FREE","4400207015","FREE","4400300017","FREE","FREE","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400205013"
"8000501008","4400205013","FREE","FREE","4400101001","4400204012","4400300017","4400300017","4400300017","FREE","FREE","4400300017","FREE","FREE","4400300017","4400300017","FREE","FREE","4400300017","FREE","FREE","4400300017","4400300017","FREE","FREE","4400300017","FREE","FREE","4400300017","4400300017","FREE","FREE","4400300017","FREE","FREE","4400300017","4400300017","FREE","FREE","4400300017","FREE","FREE","4400300017","4400300017","4400300017","4400105005","4400201009","FREE","FREE","4400104004"
"8000501009","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400202010","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400203011","4400300017","4400300017","4400300017","4400300017","4400300017","4400300017","4400204012","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","4400300017","4400300017","4400300017","FREE","FREE","FREE","FREE","4400102002","4400103003","4400104004","FREE","FREE","FREE","FREE"
