"!!!","","","",""
"---","iObjectGroupID","iXArrayNum","iYArrayNum","iBombNum"
"인덱스","오브젝트그룹ID","X열 정렬","Y열 정렬","폭탄 개수"
"8000701001","1","3","3","1"
"8000701002","1","3","3","1"
"8000701003","1","3","3","1"
"8000701004","2","3","3","1"
"8000701005","2","3","3","1"
"8000701006","2","3","3","1"
"8000701007","3","3","3","1"
"8000701008","3","3","3","1"
"8000701009","4","3","3","1"
"8000701010","4","3","3","1"
"8000702001","0","0","0","1"
"8000702002","0","0","0","1"
"8000702003","0","0","0","1"
"8000702004","0","0","0","1"
"8000702005","0","0","0","1"
"8000702006","0","0","0","1"
"8000702007","0","0","0","1"
"8000702008","0","0","0","1"
"8000702009","0","0","0","1"
"8000702010","0","0","0","1"
"8000703001","1","3","5","1"
"8000703002","1","3","5","1"
"8000703003","1","3","5","1"
"8000703004","2","3","5","1"
"8000703005","2","3","5","1"
"8000703006","2","3","5","1"
"8000703007","3","3","5","1"
"8000703008","3","3","5","1"
"8000703009","4","3","5","1"
"8000703010","4","3","5","1"
"8000704001","0","0","0","1"
"8000704002","0","0","0","1"
"8000704003","0","0","0","1"
"8000704004","0","0","0","1"
"8000704005","0","0","0","1"
"8000704006","0","0","0","1"
"8000704007","0","0","0","1"
"8000704008","0","0","0","1"
"8000704009","0","0","0","1"
"8000704010","0","0","0","1"
"8000705001","1","5","5","1"
"8000705002","2","5","5","1"
"8000705003","2","5","5","1"
"8000705004","3","5","5","1"
"8000705005","3","5","5","1"
"8000705006","3","5","5","1"
"8000705007","3","5","5","1"
"8000705008","4","5","5","1"
"8000705009","4","5","5","1"
"8000705010","4","5","5","1"
"8000706001","0","0","0","1"
"8000706002","0","0","0","1"
"8000706003","0","0","0","1"
"8000706004","0","0","0","1"
"8000706005","0","0","0","1"
"8000706006","0","0","0","1"
"8000706007","0","0","0","1"
"8000706008","0","0","0","1"
"8000706009","0","0","0","1"
"8000706010","0","0","0","1"
