"!!!","","",""
"---","iObjectGroupID","sStaticMeshPath","sObjectSize"
"인덱스","오브젝트그룹ID","스태틱메쉬 경로","인게임 사이즈"
"4500100001","0","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_TumaiBomb.SM_NPUZ_06_TumaiBomb'","1"
"4500000001","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_LoverDuck.SM_NPUZ_06_MU_LoverDuck'","1"
"4500000002","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_ToyWand.SM_NPUZ_06_MU_ToyWand'","1"
"4500000003","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_WalkyTalky.SM_NPUZ_06_MU_WalkyTalky'","1"
"4500000004","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_Flower_3.SM_NPUZ_06_MU_Flower_3'","1"
"4500000005","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_Flower_2.SM_NPUZ_06_MU_Flower_2'","1"
"4500000006","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_Flower_1.SM_NPUZ_06_MU_Flower_1'","1"
"4500000007","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_HolyGrail_3.SM_NPUZ_06_MU_HolyGrail_3'","1"
"4500000008","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_HolyGrail_1.SM_NPUZ_06_MU_HolyGrail_1'","1"
"4500000009","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MC_Hamburger_1.SM_NPUZ_06_MC_Hamburger_1'","1"
"4500000010","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MC_Hamburger_2.SM_NPUZ_06_MC_Hamburger_2'","1"
"4500000011","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_ToySword.SM_NPUZ_06_MU_ToySword'","1"
"4500000012","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_LoverSwan.SM_NPUZ_06_MU_LoverSwan'","1"
"4500000013","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_Statue_B_07.SM_NPUZ_06_MU_Statue_B_07'","1"
"4500000014","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_Statue_B_08.SM_NPUZ_06_MU_Statue_B_08'","1"
"4500000015","1","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MU_CanopicJar_3.SM_NPUZ_06_MU_CanopicJar_3'","1"
"4500000016","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Wagon.SM_NPUZ_06_WS_Wagon'","1"
"4500000017","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Totem_1_Pieces_2.SM_NPUZ_06_WS_Totem_1_Pieces_2'","1"
"4500000018","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Totem_2_Pieces_3.SM_NPUZ_06_WS_Totem_2_Pieces_3'","1"
"4500000019","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Guitar2.SM_NPUZ_06_WS_Guitar2'","1"
"4500000020","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Moneybag_1.SM_NPUZ_06_WS_Moneybag_1'","1"
"4500000021","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Moneybag3.SM_NPUZ_06_WS_Moneybag3'","1"
"4500000022","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Lantern_2.SM_NPUZ_06_WS_Lantern_2'","1"
"4500000023","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Lantern_3.SM_NPUZ_06_WS_Lantern_3'","1"
"4500000024","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Wine_1.SM_NPUZ_06_WS_Wine_1'","1"
"4500000025","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Wine_2.SM_NPUZ_06_WS_Wine_2'","1"
"4500000026","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Feather.SM_NPUZ_06_WS_Feather'","1"
"4500000027","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Balloon2.SM_NPUZ_06_WS_Balloon2'","1"
"4500000028","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Balloon.SM_NPUZ_06_WS_Balloon'","1"
"4500000029","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Horse01A.SM_NPUZ_06_WS_Horse01A'","1"
"4500000030","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_Horse01B.SM_NPUZ_06_WS_Horse01B'","1"
"4500000031","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_CactusFlower_1.SM_NPUZ_06_WS_CactusFlower_1'","1"
"4500000032","2","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_WS_CactusFlower_2.SM_NPUZ_06_WS_CactusFlower_2'","1"
"4500000033","3","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MC_Meat_3.SM_NPUZ_06_MC_Meat_3'","1"
"4500000034","3","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MC_Meat_4.SM_NPUZ_06_MC_Meat_4'","1"
"4500000035","3","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MC_Pouch01.SM_NPUZ_06_MC_Pouch01'","1"
"4500000036","3","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MC_RoadCone_1.SM_NPUZ_06_MC_RoadCone_1'","1"
"4500000037","3","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MC_Package_3B.SM_NPUZ_06_MC_Package_3B'","1"
"4500000038","3","/Script/Engine.StaticMesh'/Game/Resources/Puzzle/Common/PuzzleSet/NPUZ_06/Meshs/SM_NPUZ_06_MC_SubMarine01.SM_NPUZ_06_MC_SubMarine01'","1"
