"###","","","","","","","","","","","","","","","","","","","","","","","","","",""
"---","sStamp","iA1","iA2","iA3","iA4","iA5","iB1","iB2","iB3","iB4","iB5","iC1","iC2","iC3","iC4","iC5","iD1","iD2","iD3","iD4","iD5","iE1","iE2","iE3","iE4","iE5"
"인덱스","퍼즐 도장","A1 좌표","A2 좌표","A3 좌표","A4 좌표","A5 좌표","B1 좌표","B2 좌표","B3 좌표","B4  좌표","B5  좌표","C1 좌표","C2 좌표","C3 좌표","C4 좌표","C5 좌표","D1 좌표","D2 좌표","D3 좌표","D4 좌표","D5 좌표","E1 좌표","E2 좌표","E3 좌표","E4 좌표","E5 좌표"
"8000801001","4700000001","2","2","2","2","2","2","1","0","1","2","2","0","0","0","2","2","1","0","1","2","2","2","2","2","2"
"8000801002","4700000002","2","2","2","2","2","2","0","1","0","2","2","1","0","1","2","2","0","1","0","2","2","2","2","2","2"
"8000801003","4700000003","2","2","2","2","2","2","1","1","1","2","2","0","0","0","2","2","1","1","1","2","2","2","2","2","2"
"8000801004","4700000004","2","2","2","2","2","2","1","0","1","2","2","1","0","1","2","2","1","0","1","2","2","2","2","2","2"
"8000801005","4700000005","2","2","2","2","2","2","0","1","1","2","2","1","0","1","2","2","1","1","0","2","2","2","2","2","2"
"8000801006","4700000006","2","2","2","2","2","2","1","1","0","2","2","1","0","1","2","2","0","1","1","2","2","2","2","2","2"
"8000801007","4700000007","2","2","2","2","2","2","0","1","0","2","2","0","0","0","2","2","0","1","0","2","2","2","2","2","2"
"8000801008","4700000008","2","2","2","2","2","2","0","0","0","2","2","1","0","1","2","2","0","0","0","2","2","2","2","2","2"
"8000801009","4700000009","2","2","2","2","2","2","1","0","1","2","2","0","0","0","2","2","1","1","1","2","2","2","2","2","2"
"8000801010","4700000010","2","2","2","2","2","2","1","0","1","2","2","1","0","0","2","2","1","0","1","2","2","2","2","2","2"
"8000801011","4700000011","2","2","2","2","2","2","1","1","1","2","2","0","0","0","2","2","1","0","1","2","2","2","2","2","2"
"8000801012","4700000012","2","2","2","2","2","2","1","0","1","2","2","0","0","1","2","2","1","0","1","2","2","2","2","2","2"
"8000801013","4700000013","2","2","2","2","2","2","1","0","1","2","2","1","0","0","2","2","1","1","1","2","2","2","2","2","2"
"8000801014","4700000014","2","2","2","2","2","2","1","1","1","2","2","1","0","0","2","2","1","0","1","2","2","2","2","2","2"
"8000801015","4700000015","2","2","2","2","2","2","1","1","1","2","2","0","0","1","2","2","1","0","1","2","2","2","2","2","2"
"8000801016","4700000016","2","2","2","2","2","2","1","0","1","2","2","0","0","1","2","2","1","1","1","2","2","2","2","2","2"
"8000801017","4700000017","2","2","2","2","2","2","0","1","0","2","2","1","0","1","2","2","1","1","1","2","2","2","2","2","2"
"8000801018","4700000018","2","2","2","2","2","2","1","1","0","2","2","1","0","1","2","2","1","1","0","2","2","2","2","2","2"
"8000801019","4700000019","2","2","2","2","2","2","1","1","1","2","2","1","0","1","2","2","0","1","0","2","2","2","2","2","2"
"8000801020","4700000020","2","2","2","2","2","2","1","1","1","2","2","1","0","1","2","2","0","1","0","2","2","2","2","2","2"
"8000802001","4700000001","2","2","2","2","2","2","0","0","1","2","2","0","1","0","2","2","1","0","0","2","2","2","2","2","2"
"8000802002","4700000001","2","2","2","2","2","2","1","0","0","2","2","0","1","0","2","2","0","0","1","2","2","2","2","2","2"
"8000802003","4700000002","2","2","2","2","2","2","1","0","1","2","2","1","1","1","2","2","1","0","1","2","2","2","2","2","2"
"8000802004","4700000002","2","2","2","2","2","2","1","1","1","2","2","0","1","0","2","2","1","1","1","2","2","2","2","2","2"
"8000802005","4700000003","2","2","2","2","2","2","1","1","1","2","2","0","1","0","2","2","1","1","1","2","2","2","2","2","2"
"8000802006","4700000003","2","2","2","2","2","2","0","0","0","2","2","0","0","0","2","2","0","0","0","2","2","2","2","2","2"
"8000802007","4700000004","2","2","2","2","2","2","0","0","0","2","2","0","0","0","2","2","0","0","0","2","2","2","2","2","2"
"8000802008","4700000005","2","2","2","2","2","2","0","1","0","2","2","1","0","1","2","2","0","1","0","2","2","2","2","2","2"
"8000802009","4700000006","2","2","2","2","2","2","0","1","0","2","2","1","0","1","2","2","0","1","0","2","2","2","2","2","2"
"8000802010","4700000007","2","2","2","2","2","2","1","1","1","2","2","0","1","0","2","2","1","1","1","2","2","2","2","2","2"
"8000802011","4700000008","2","2","2","2","2","2","1","0","1","2","2","1","1","1","2","2","1","0","1","2","2","2","2","2","2"
"8000802012","4700000009","2","2","2","2","2","2","0","0","0","2","2","1","0","1","2","2","0","0","0","2","2","2","2","2","2"
"8000802013","4700000010","2","2","2","2","2","2","0","1","0","2","2","0","0","0","2","2","0","1","0","2","2","2","2","2","2"
"8000802014","4700000011","2","2","2","2","2","2","0","0","0","2","2","1","0","1","2","2","0","0","0","2","2","2","2","2","2"
"8000802015","4700000012","2","2","2","2","2","2","0","1","0","2","2","0","0","0","2","2","0","1","0","2","2","2","2","2","2"
"8000802016","4700000013","2","2","2","2","2","2","1","0","1","2","2","0","0","0","2","2","0","0","1","2","2","2","2","2","2"
"8000802017","4700000014","2","2","2","2","2","2","0","0","1","2","2","0","0","0","2","2","1","0","1","2","2","2","2","2","2"
"8000802018","4700000015","2","2","2","2","2","2","1","0","0","2","2","0","0","0","2","2","1","0","1","2","2","2","2","2","2"
"8000802019","4700000016","2","2","2","2","2","2","1","0","1","2","2","0","0","0","2","2","1","0","0","2","2","2","2","2","2"
"8000802020","4700000017","2","2","2","2","2","2","0","1","0","2","2","0","0","0","2","2","1","0","1","2","2","2","2","2","2"
"8000802021","4700000018","2","2","2","2","2","2","1","0","0","2","2","0","0","1","2","2","1","0","0","2","2","2","2","2","2"
"8000802022","4700000019","2","2","2","2","2","2","1","0","1","2","2","0","0","0","2","2","0","1","0","2","2","2","2","2","2"
"8000802023","4700000020","2","2","2","2","2","2","0","0","1","2","2","1","0","0","2","2","0","0","1","2","2","2","2","2","2"
"8000803001","4700000001","2","2","2","2","2","1","0","0","0","1","0","1","0","1","0","1","0","0","0","1","2","2","2","2","2"
"8000803002","4700000001","2","1","0","1","2","2","0","1","0","2","2","0","0","0","2","2","0","1","0","2","2","1","0","1","2"
