csv 異쒕젰 踰꾪듉,,,,,,,,,
---,iA1,iA2,iA3,iB1,iB2,iB3,iC1,iC2,iC3
?몃뜳??,A1醫뚰몴,A2醫뚰몴,A3醫뚰몴,B1醫뚰몴,B2醫뚰몴,B3醫뚰몴,C1醫뚰몴,C2醫뚰몴,C3醫뚰몴
4700000001,0,1,0,1,1,1,0,1,0
4700000002,1,0,1,0,1,0,1,0,1
4700000003,0,0,0,1,1,1,0,0,0
4700000004,0,1,0,0,1,0,0,1,0
4700000005,1,0,0,0,1,0,0,0,1
4700000006,0,0,1,0,1,0,1,0,0
4700000007,1,0,1,1,1,1,1,0,1
4700000008,1,1,1,0,1,0,1,1,1
4700000009,0,1,0,1,1,1,0,0,0
4700000010,0,1,0,0,1,1,0,1,0
4700000011,0,0,0,1,1,1,0,1,0
4700000012,0,1,0,1,1,0,0,1,0
4700000013,0,1,0,0,1,1,0,0,0
4700000014,0,0,0,0,1,1,0,1,0
4700000015,0,0,0,1,1,0,0,1,0
4700000016,0,1,0,1,1,0,0,0,0
4700000017,1,0,1,0,1,0,0,0,0
4700000018,0,0,1,0,1,0,0,0,1
4700000019,0,0,0,0,1,0,1,0,1
4700000020,1,0,0,0,1,0,1,0,0
